37.140.141.29 - - [05/Feb/2015:09:52:08 +0100] "GET / HTTP/1.1" 302 534 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
92.151.45.205 - - [05/Feb/2015:09:52:29 +0100] "GET / HTTP/1.1" 302 538 "http://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CCMQFjAA&url=http%3A%2F%2Fwww.yajade.com%2F&ei=Sy_TVNPfJczUavvRgaAI&usg=AFQjCNFJrftbfj2xOqHvjkRW77gOMivSzg&bvm=bv.85142067,d.d2s" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:30 +0100] "GET /secure/MyJiraHome.jspa HTTP/1.1" 302 613 "http://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CCMQFjAA&url=http%3A%2F%2Fwww.yajade.com%2F&ei=Sy_TVNPfJczUavvRgaAI&usg=AFQjCNFJrftbfj2xOqHvjkRW77gOMivSzg&bvm=bv.85142067,d.d2s" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:30 +0100] "GET /secure/Dashboard.jspa HTTP/1.1" 200 12649 "http://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CCMQFjAA&url=http%3A%2F%2Fwww.yajade.com%2F&ei=Sy_TVNPfJczUavvRgaAI&usg=AFQjCNFJrftbfj2xOqHvjkRW77gOMivSzg&bvm=bv.85142067,d.d2s" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.dashboard:gadget-dashboard-resources/com.atlassian.gadgets.dashboard:gadget-dashboard-resources.css HTTP/1.1" 200 686 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-T/en_US-dpa8tt/6346/8/1.8.4/_/download/batch/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create.css HTTP/1.1" 200 803 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3d91958213497fb774531e41bd2c9c21/_/download/contextbatch/css/jira.general/batch.css HTTP/1.1" 200 4982 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:32 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.embedded:gadget-core-resources/com.atlassian.gadgets.embedded:gadget-core-resources.js HTTP/1.1" 200 4541 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:32 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.embedded:gadget-container-resources/com.atlassian.gadgets.embedded:gadget-container-resources.js HTTP/1.1" 200 1099 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:32 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.dashboard:gadget-dashboard-resources/com.atlassian.gadgets.dashboard:gadget-dashboard-resources.js HTTP/1.1" 200 2214 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:38 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/1.0/_/download/batch/jira.webresources:calendar-en/jira.webresources:calendar-en.js HTTP/1.1" 200 1462 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
